,0,1
0,expDefaultRate,11.05
1,creditPullD,2015-05-09T05:47:37.000-07:00
2,initialListStatus,F
3,pctTlNvrDlq,100
4,ilsExpD,2015-05-09T10:00:00.000-07:00
5,totalRevHiLim,23700
6,grade,F
7,mthsSinceLastDelinq,
8,pubRec,0
9,investorCount,
10,accNowDelinq,0
11,numRevTlBalGt0,11
12,totHiCredLim,33700
13,numBcTl,11
14,addrState,NY
15,numActvRevTl,11
16,reviewStatusD,
17,subGrade,F3
18,id,46614712
19,moSinOldIlAcct,42
20,delinqAmnt,0.0
21,moSinOldRevTlOp,93
22,delinq2Yrs,0
23,inqLast6Mths,1
24,percentBcGt75,100.0
25,loanAmount,24450.0
26,mthsSinceLastMajorDerog,
27,numRevAccts,14
28,numOpRevTl,12
29,serviceFeeRate,0.71
30,numSats,13
31,addrZip,100xx
32,numTlOpPast12m,3
33,chargeoffWithin12Mths,0
34,moSinRcntRevTlOp,4
35,ficoRangeHigh,669
36,totalBcLimit,18200
37,expD,2015-05-23T07:59:05.000-07:00
38,openAcc,13
39,totalAcc,17
40,mortAcc,0
41,bcUtil,95.4
42,mthsSinceRecentInq,4
43,numBcSats,9
44,avgCurBal,2273
45,homeOwnership,RENT
46,reviewStatus,NOT_APPROVED
47,numTl90gDpd24m,0
48,accOpenPast24Mths,4
49,totCurBal,29554
50,isIncV,NOT_VERIFIED
51,dti,17.05
52,totCollAmt,0
53,revolBal,19928.0
54,mthsSinceRecentBcDlq,
55,empTitle,
56,purpose,credit_card
57,collections12MthsExMed,0
58,earliestCrLine,2007-08-08T17:00:00.000-07:00
59,ficoRangeLow,665
60,acceptD,2015-05-09T07:47:57.000-07:00
61,pubRecBankruptcies,0
62,desc,
63,bcOpenToBuy,838
64,term,60
65,mthsSinceRecentBc,9
66,numActvBcTl,9
67,annualInc,58222.0
68,installment,710.5
69,revolUtil,84.1
70,numIlTl,2
71,taxLiens,0
72,mthsSinceLastRecord,
73,totalBalExMort,29554
74,memberId,49762560
75,mthsSinceRecentRevolDelinq,
76,numTl120dpd2m,0
77,moSinRcntTl,4
78,numAcctsEver120Ppd,0
79,totalIlHighCreditLimit,10000
80,intRate,24.5
81,numTl30dpd,0
82,listD,2015-05-09T10:00:00.000-07:00
83,fundedAmount,15650.0
84,empLength,72
