40350529,Fulfillment Associate,Amazon Fulfillment Center
37257163,psych Tech,Bellevue Hospital
38465977,Private Client Consultant,"Burberry, limited"
48896476,soe,CABLEVISION
39522818,SR ADMIN ASST,CTS CORPORATION
49633560,Executive Chef,Charm City Event Design
38418887,Director of Dining Services,Compass Group
38852157,General Manager,Corner Bakery Cafe
37277643,Shop Forman ,Cr leonard
41109614,Inside Sales,Cyclonic Valve
41073496,FLIGHT ATTENDANT,DELTA AIR LINES INC
38659631,Drilling Foreman,DRS Enterprises
36803455,Consultant,Executive Search Group
56360326,Manager of Materials Management,ExxonMobil Development Company
41267370,General Manager,"Garibaldi's Pizza, Inc."
37720632,Office,George Reid
39582031,Protection Specialist,Guardian Protection Services
40921313,snack bar attendant,HMS host
37670609,Search and Retrieval Associate,InSync Staffing
38527019,ironworker formen,Kas construction
36400867,construction/laborer,"LABOR READY/TRUEBLUE, CO."
48986824,Mine Engineer,Lafarge North America
46845652,construction manager,Lennar Homes
41298119,Store manager,Macys
40337681,General Manager,McDonald's 
40520282,Assistant Manager ,McDonalds
37600586,Sr. Drilling Fluids Engineer,MiSwaco/Schlumberger
40981757,General Manager,Moe's Southwest Grill
39642292,President,"N Corda Enterprises, LLC"
35763389,Driver License Examiner,NC Division of Motor Vehicles
41013111,Business Systems Analyst,NV Energy
41329295,Service Manager,Neal Tire & Auto Service
46466396,extruder operator,Nestle Purina
40412509,Counseling ,New York State
42443204,Retail Service Specialist,O'Reilly Auto Parts
36803730,Precision Assembler 1,OFS
41379193,Dock Worker,Old Dominion
38544463,manager,One On One Personal Care
44755748,Security mental health,Oregon estate hospital
37287600,Service Tech,Orkin Exterminating
39610123,Selecting,Owens Brockway Glass
36290787,Truck Driver,P&B Transportation
39450072,senior maintenance technician,PGW
66035363,Financial Sales Consultant,PNC Bank
39650150,Bus Driver,Pace West
38529687,New poroducts and equipment spec,Papa Johns Int
40990877,Administrative,Pash & Benson Intl Ltd Inc
36391222,Administrative,"Pate Bonding, Inc."
45232300,Builder,Paul Taylor Homes
65825686,Line Driver,Pepsi
37127799,Owner,"Pertiet Enterprises, Inc"
37317941,Emergency servicemen ,Pesg LI
48926235,Machinist Foreman,Pge
61481448,Vice President,"Pinnacle Entertainment, Inc."
59173387,Nanny,Private Household
36300679,owner,Professional Flooring Contractors
38528966,Rigger,Pudget sound naval shipyard
37770418,cashier,Quickstop
36440326,Commercial Truck Driver,R&D Transport
57336860,realtor,REMAX 1st Olympic/Melinda Shannon
43460102,Service Consultant,Ray Skillman Buick GMC
37307511,Real Estate Broker,Real Estate Broker
39370568,n/a,Real Estate Distributions 
37641959,Truck Driver,Reinhart Food Services
61310552,Assistant manager,Rent a center
37721707,Sales,RentPath
60810336,E.S. Shovel Engineer,Rio Tinto Kennecott copper
39749155,owner,Ron Anderson
41308209,Finisher/ Onsite Specialist,Russell Furniture LLC
37771899,Furnace Operator,SAPA Industrial Extrusions
39641415,Fire Crew Chief,Sallyport Global
60466181,Stylist,Salon of memphis
55948911,National Scout,San Diego Chargers (NFL)
40440114,Journeyman Lineman,San Diego Gas & Electric
36800495,Elevator Mechanic,Schindler Elevator
55219154,Field Tec,Schneider Electric
38465961,Meat Manager,Scolaris
52476391,Able Bodied Seaman,Seafarers International Union
48574407,Lineman,So. Cal Edison
40939635,Food Service Management,Sodexo
39898066,Iron Worker,Sofco Erectors / IW Local 22
41081820,Police Officer,South Bend Police Department
37801574,Service Manager,South Shore Hyundai
42924859,President,"Spanish For Meat, Inc."
37720144,Machinist,SpiritAero Systems
45364947,RN,St. Louis Correctional Facility
39572739,Licensed Insurance sales ,Stacy Lofgren
38515576,Service Specialist,Staffing Solutions
37137643,Store Manager,Starbucks Coffee Company
47220431,Youth Worker,State Of New Jersey
39629972,Assistant Store Manager,Statwr Bros Markets
63337701,Hair Stylist,Stuart Laurence Salon
40138136,Owner,Suburban Sanitation
38479323,Journeyman Electrician,Tarpon Energy services LLC
55929114,Sales Representative,TaylorMade Golf
62954269,Electrician,Tc electric
39290483,Owner,TechHelp
41011160,General Manager,The Coffee Bean and Tea Leaf
37620383,Customer Serivce,The Hitt Companies
57378141,General Manager,The Office Cocktail Lounge
36840237,Manager,The swampwater grill
40117506,fork truck operator,Therma Tru
43370803,General manager,Thornton s inc
63929547,Account Consultant,Time Warner Cable 
36270802,Machine builder,Trantek automation
37691476,Military,US Army
36370592,Officer,US Government
60890255,Manager/Consultant,US Steel
39399749,military,USN
36210774,Mail handler,USPS
40441284,Senior Enlisted Advisor,United States Army
60265163,Senior Ground Maintenance Warrant,United States Army
37327151,A&P mechanic,United airlines 
41080821,Print Production Artist,Valpak
40097706,Marketing Consulant,Verizon Communications
36200607,Owner,"Vern's Auto Repair, LLC"
39058154,school bus driver,WATSON'S  INC
54344945,Certified Welder Inspector,WHM 
52868692,Reporter,WPIX-TV
35674012,Electrician,WRPS Hanford
39379953,Assistant Store Manager,Wal-mart
43265806,Assistant Store Manager ,Walgreens
37731504,Cake Decorator,Walmart
41358436,Assistant Manager,Walmart
42944127,Magic kingdom guest relations,Walt Disney world resort
36211190,Personal Banker,Wells Fargo Bank
40971060,Private banker associate,Wells Fargo bank
38802306,Training Store Manager,Wendys
66210339,Owner,"Wesrport Remodeling and Painting,LLC"
36241453,Sales,Whitehall Products
39997484,Assistant General Manager,Willy's Mexicana Grill
37831602,Activities asst,Wingate
57314949,Produce manager,Winn-dixie
36148607,truck driver,Woody's LLC
37760858,Manager,Z- Casino
38201977,aircraft mechanic,army fleet support
38445601,senior teller,bank of america
40592977,sale associate-team member,bjs wholesale club
39178144,marketing strategist ,blast analytics and marketing 
47561327,president,"c machining services, inc"
37207643,technician,calsonic
38428102,set up,carlisle brake and friction
36059789,crew leader,centerpointenergy
38526818,marketing assist,champion cutting tool corp
41160373,sales manager,colonial toyota
41368354,general manager,comfort inn
46743938,owner/operator,danny kuntz trucking
40197514,general manager,dennys
45484685,assistant manager,dollar general
40999589,Senior energy tech.,exolon
39591975,shipping,federal signal 
40187258,plumber,flow wright plumbing
61470164,internet manager,honda of decatur
41991197,controls tech,ingersoll rand/ Trane
56080364,supervisor,kbr
39591930,general manager,kfc
37117247,machine operator,kimberly clark
36410688,associate,kohls
41080817,cook/dietary aide,little flower manor
36350360,manager,lush
36221299,mechanic,mega truck and trailer repair
39380338,operator,metro transit
37938338,facilities Maintenance Tech,miami -dade Transit
41880583,production,mosaic
65617035,gen mgr,mountain view chevrolet
36211459,n/a,n/a
69523678,n/a,n/a
44713434,n/a,n/a
37257764,n/a,n/a
37297298,n/a,n/a
36211371,n/a,n/a
36460743,n/a,n/a
59915174,n/a,n/a
57356563,n/a,n/a
36220234,n/a,n/a
36098120,n/a,n/a
38610287,n/a,n/a
36221181,n/a,n/a
40561015,n/a,n/a
39400034,n/a,n/a
35094703,n/a,n/a
36350468,n/a,n/a
36490388,n/a,n/a
39599683,n/a,n/a
36360125,n/a,n/a
41439519,provider,outreach
41348869,marketing associate,payday money center
40933137,cosmetologist ,procuts Inc 
38495527,shipping manager,prodigital inc
41309189,preisdent,rafidain inc 
46358045,credit analyst,rocktenn
38619028,belt worker,semcor
38192627,quality control,shaw
38413160,shift supervisor,sonoco products company rixie division
39818184,production millwright,southwire
39330396,cook,spaghetti warehouse
36350850,assistant manager,stripes
41256497,owner,thomas r allison construction
36088556,operator associate,ttm technologies
38659596,school security agent,tucson unified school dist
36390947,insurance collector specialist,universtiy of rochester
40038530,elg spec,valueoptions
35236545,customer service,victor's three D
36119060,woodbay,vulcraft
54248167,commercial driver,waste management
40961237,meat manager,weis market
39639574,n/a,"wife, unemployment,seasonal forest serv."
